epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
123,0.00489,99.97,1.16225,72.36,91.34,1.15736,0.0028222641933652115,15.608,0.973|0.734,0.16|3.68,894.8|419.6,3120.0|3120.0,260|260,0|0,0|2,257,49920,1941.85
124,0.00486,99.97,1.16458,72.35,91.17,1.15973,0.0026826244280108436,15.511,0.971|0.739,0.18|3.58,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,1957.36
125,0.0049,99.96,1.15906,72.42,91.09,1.15416,0.002545990578570404,15.648,0.968|0.749,0.26|3.45,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,255,49920,1973.01
126,0.00491,99.964,1.16019,72.51,91.27,1.15528,0.0024124187730720915,15.537,0.975|0.734,0.13|3.67,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,258,49920,1988.54
127,0.00467,99.974,1.15825,72.43,91.21,1.15358,0.0022819638816823796,15.564,0.967|0.757,0.25|3.32,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,2004.11
128,0.00467,99.964,1.1583,72.4,91.33,1.15363,0.002154679494165829,15.423,0.982|0.721,0.03|3.85,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,2019.53
129,0.00496,99.968,1.16018,72.37,91.34,1.15522,0.002030617897870851,15.49,0.974|0.734,0.15|3.62,894.8|428.9,3120.0|3120.0,260|260,0|0,0|2,257,49920,2035.02
130,0.0047,99.97,1.16039,72.36,91.18,1.15568,0.0019098300562505265,15.769,0.970|0.746,0.24|3.53,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,2050.79
131,0.00478,99.966,1.15915,72.32,91.38,1.15437,0.0017923655879272394,15.563,0.974|0.738,0.17|3.62,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,258,49920,2066.35
132,0.00468,99.968,1.15746,72.54,91.29,1.15277,0.0016782727463097624,15.585,0.973|0.731,0.15|3.73,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,257,49920,2081.94
133,0.00466,99.972,1.15699,72.4,91.28,1.15233,0.0015675983997711796,15.786,0.967|0.734,0.29|3.71,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,258,49920,2097.72
134,0.00472,99.964,1.15933,72.4,91.26,1.15461,0.0014603880123957448,15.58,0.967|0.758,0.26|3.32,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,253,49920,2113.3
135,0.00462,99.964,1.15884,72.38,91.3,1.15422,0.001356685625302625,15.541,0.980|0.717,0.06|3.94,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,257,49920,2128.84
136,0.00463,99.972,1.15788,72.46,91.26,1.15326,0.0012565338385541792,15.689,0.973|0.731,0.15|3.76,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,2144.53
137,0.00472,99.968,1.15807,72.55,91.21,1.15335,0.0011599737936562149,15.564,0.971|0.749,0.20|3.44,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,2160.1
138,0.00461,99.97,1.15535,72.52,91.27,1.15074,0.00106704515665741,15.742,0.961|0.748,0.35|3.47,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,2175.84
139,0.00465,99.976,1.15974,72.33,91.27,1.15509,0.0009777861018548252,15.749,0.970|0.740,0.20|3.63,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,2191.59
140,0.00462,99.974,1.15781,72.42,91.32,1.15319,0.000892233296112236,15.693,0.977|0.731,0.14|3.76,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,253,49920,2207.28
141,0.00463,99.976,1.15543,72.35,91.42,1.15079,0.000810421883797694,15.588,0.979|0.711,0.07|4.06,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,258,49920,2222.87
142,0.00463,99.962,1.15895,72.39,91.29,1.15432,0.000732385472346514,15.562,0.972|0.733,0.17|3.69,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,2238.43
143,0.00452,99.978,1.15607,72.54,91.37,1.15154,0.0006581561184556295,15.657,0.968|0.737,0.24|3.65,894.8|420.1,3120.0|3120.0,260|260,0|0,0|2,251,49920,2254.09
144,0.00463,99.976,1.1583,72.38,91.27,1.15368,0.000587764314914967,15.657,0.978|0.716,0.08|3.97,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,257,49920,2269.75
