epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
67,0.07053,98.149,1.56874,66.67,87.88,1.49822,0.013282285403621863,15.701,0.970|0.748,0.22|3.46,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,1066.62
68,0.06471,98.287,1.61878,64.9,87.35,1.55407,0.013090169943749475,15.473,0.973|0.737,0.15|3.58,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,1082.09
69,0.06363,98.315,1.6181,65.25,87.68,1.55447,0.012896785068234924,15.661,0.962|0.763,0.31|3.23,894.8|420.4,3120.0|3120.0,260|260,0|0,0|2,258,49920,1097.75
70,0.05456,98.652,1.5326,66.72,88.09,1.47804,0.012702210217947287,15.565,0.975|0.735,0.14|3.68,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,1113.31
71,0.05326,98.706,1.55097,66.44,88.25,1.49771,0.012506525322587206,15.502,0.980|0.719,0.07|3.88,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,1128.82
72,0.04912,98.754,1.53687,66.76,88.08,1.48775,0.012309810767852434,15.83,0.966|0.746,0.27|3.55,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,1144.65
73,0.04235,99.008,1.49064,67.22,88.28,1.44828,0.012112147362416075,15.647,0.966|0.751,0.26|3.45,894.8|420.0,3120.0|3120.0,260|260,0|0,0|2,254,49920,1160.29
74,0.04432,98.962,1.50229,67.3,88.57,1.45797,0.011913616304731063,15.522,0.973|0.747,0.19|3.48,894.8|429.1,3120.0|3120.0,260|260,0|0,0|2,256,49920,1175.81
75,0.04348,98.978,1.54129,66.23,87.94,1.49781,0.011714299149674536,15.645,0.967|0.749,0.28|3.46,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,257,49920,1191.46
76,0.03352,99.285,1.48511,67.52,88.6,1.45159,0.011514277775045767,15.711,0.972|0.734,0.20|3.71,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,258,49920,1207.17
77,0.02684,99.451,1.4547,67.52,89.2,1.42786,0.011313634347931464,15.651,0.968|0.752,0.24|3.42,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,257,49920,1222.82
78,0.02087,99.629,1.42957,68.75,88.98,1.40869,0.011112451290952237,15.601,0.968|0.735,0.24|3.67,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,255,49920,1238.42
79,0.02351,99.531,1.44937,68.38,88.79,1.42587,0.010910811248404064,15.533,0.972|0.742,0.17|3.58,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,255,49920,1253.96
80,0.02001,99.639,1.37496,69.3,89.68,1.35495,0.01070879705230873,15.454,0.980|0.723,0.06|3.86,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,1269.41
81,0.01647,99.726,1.39513,69.46,89.52,1.37867,0.010506491688387128,15.676,0.965|0.744,0.29|3.55,894.8|419.6,3120.0|3120.0,260|260,0|0,0|2,254,49920,1285.09
82,0.01523,99.732,1.38351,69.0,89.55,1.36828,0.010303978261969429,15.727,0.980|0.712,0.06|4.07,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,1300.81
83,0.01421,99.77,1.33748,69.98,90.14,1.32328,0.01010133996385611,15.312,0.980|0.728,0.07|3.69,894.8|419.5,3120.0|3120.0,260|260,0|0,0|2,259,49920,1316.12
84,0.01263,99.806,1.3095,70.11,89.95,1.29686,0.009898660036143894,15.528,0.969|0.752,0.24|3.39,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,258,49920,1331.65
85,0.01208,99.83,1.33293,69.9,89.82,1.32085,0.009696021738030575,15.735,0.965|0.752,0.31|3.45,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,254,49920,1347.39
86,0.01011,99.868,1.33871,70.2,89.76,1.3286,0.009493508311612874,15.889,0.968|0.739,0.26|3.65,894.8|420.2,3120.0|3120.0,260|260,0|0,0|2,256,49920,1363.28
87,0.01004,99.874,1.30516,70.47,89.98,1.29512,0.009291202947691271,15.733,0.967|0.747,0.26|3.52,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,254,49920,1379.01
88,0.0091,99.868,1.28552,70.31,90.44,1.27641,0.009089188751595936,15.476,0.976|0.735,0.13|3.63,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,256,49920,1394.49
89,0.00806,99.902,1.26816,70.66,90.39,1.2601,0.008887548709047765,15.55,0.973|0.735,0.18|3.66,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,259,49920,1410.04
90,0.00732,99.92,1.26341,71.05,90.43,1.25609,0.008686365652068536,15.663,0.975|0.730,0.15|3.76,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,254,49920,1425.7
91,0.00641,99.936,1.25647,70.93,90.54,1.25005,0.008485722224954237,15.894,0.963|0.743,0.32|3.60,894.8|430.6,3120.0|3120.0,260|260,0|0,0|2,246,49920,1441.59
92,0.0062,99.928,1.24499,71.0,90.58,1.23879,0.008285700850325466,15.622,0.972|0.736,0.19|3.65,894.8|420.3,3120.0|3120.0,260|260,0|0,0|2,254,49920,1457.21
