epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,5.12648,2.165,4.66413,5.6,18.95,-0.46235,7.692307692307692e-06,112.57,0.872|0.666,13.17|33.55,3358.6|789.0,24960.0|24960.0,1560|520,0|0,2|2,295,99840,112.57
2,4.27933,9.778,3.89868,13.95,36.63,-0.38065,0.004007692307692308,107.95,0.947|0.557,4.17|46.23,3354.1|788.3,24960.0|24960.0,1560|520,0|0,2|2,260,99840,220.52
3,3.70578,17.515,3.60735,18.69,44.13,-0.09843,0.008007692307692308,106.676,0.943|0.563,4.62|44.96,3354.1|788.2,24960.0|24960.0,1560|520,0|0,2|2,260,99840,327.2
4,3.30322,24.141,3.21277,26.28,53.21,-0.09045,0.012007692307692308,108.483,0.949|0.551,3.92|47.01,3356.7|785.7,24960.0|24960.0,1560|520,0|0,2|2,259,99840,435.68
5,3.00291,29.586,2.95031,30.42,58.42,-0.0526,0.016007692307692306,107.426,0.943|0.556,4.54|46.11,3354.1|786.9,24960.0|24960.0,1560|520,0|0,2|2,260,99840,543.11
6,2.73548,34.614,3.05941,29.96,57.26,0.32394,0.02,108.974,0.960|0.548,2.55|47.56,3354.1|788.5,24960.0|24960.0,1560|520,0|0,2|2,260,99840,652.08
7,2.48008,39.895,2.6618,37.4,64.96,0.18172,0.019991228300988585,106.826,0.953|0.570,3.42|44.20,3355.7|788.1,24960.0|24960.0,1560|520,0|0,2|2,260,99840,758.91
8,2.29413,43.614,2.51172,39.75,67.86,0.21758,0.019964928592495042,105.537,0.957|0.576,3.33|43.21,3354.1|825.2,24960.0|24960.0,1560|520,0|0,2|2,260,99840,864.44
9,2.13898,46.933,2.45667,41.61,68.56,0.31769,0.01992114701314478,107.563,0.955|0.559,3.33|45.68,3354.1|825.2,24960.0|24960.0,1560|520,0|0,2|2,260,99840,972.01
10,2.00695,49.746,2.32398,44.55,70.76,0.31703,0.01985996037070505,108.174,0.936|0.550,5.55|47.05,3354.1|787.1,24960.0|24960.0,1560|520,0|0,2|2,260,99840,1080.18
11,1.89919,51.924,2.30725,44.4,71.5,0.40806,0.019781476007338056,111.257,0.930|0.616,6.43|39.59,3357.4|825.2,24960.0|24960.0,1560|520,0|0,2|2,285,99840,1191.44
12,1.79066,54.438,2.23276,46.46,72.27,0.4421,0.01968583161128631,106.779,0.937|0.597,5.49|40.89,3357.4|825.2,24960.0|24960.0,1560|520,0|0,2|2,268,99840,1298.22
13,1.68779,56.722,2.28886,46.25,71.91,0.60108,0.01957319497532067,113.16,0.943|0.538,4.16|50.03,3356.7|825.2,24960.0|24960.0,1560|520,0|0,2|2,260,99840,1411.38
14,1.60895,58.555,2.14823,47.85,74.23,0.53928,0.01944376370237481,101.591,0.960|0.604,3.08|38.77,3354.1|827.1,24960.0|24960.0,1560|520,0|0,2|2,260,99840,1512.97
15,1.51571,60.465,2.21795,47.33,73.49,0.70224,0.019297764858882512,103.2,0.950|0.589,3.75|40.88,3357.4|787.1,24960.0|24960.0,1560|520,0|0,2|2,260,99840,1616.17
16,1.42705,62.357,2.18794,48.63,73.95,0.76089,0.019135454576426007,109.082,0.923|0.547,6.61|47.63,3354.1|825.2,24960.0|24960.0,1560|520,0|0,2|2,260,99840,1725.25
17,1.34076,64.34,2.16897,48.88,75.17,0.82821,0.01895711760239413,107.216,0.940|0.559,5.16|45.58,3354.1|825.2,24960.0|24960.0,1560|520,0|0,2|2,260,99840,1832.46
18,1.26952,66.073,2.1142,50.53,76.0,0.84468,0.018763066800438634,109.233,0.948|0.544,4.49|48.16,3354.1|788.0,24960.0|24960.0,1560|520,0|0,2|2,260,99840,1941.7
19,1.1995,67.485,2.28019,47.8,73.51,1.08069,0.018553642601605067,102.341,0.951|0.627,4.07|36.30,3357.4|827.7,24960.0|24960.0,1560|520,0|0,2|2,271,99840,2044.04
20,1.12077,69.416,2.25397,49.25,74.82,1.1332,0.018329212407100996,102.839,0.949|0.636,4.43|35.27,3357.4|828.2,24960.0|24960.0,1560|520,0|0,2|2,277,99840,2146.88
21,1.05011,71.135,2.15411,50.78,75.02,1.10401,0.018090169943749474,101.377,0.960|0.604,3.05|38.62,3354.1|828.4,24960.0|24960.0,1560|520,0|0,2|2,260,99840,2248.25
22,0.9888,72.72,2.18403,50.44,75.75,1.19523,0.017836934573258398,101.38,0.962|0.607,3.00|38.35,3354.1|831.5,24960.0|24960.0,1560|520,0|0,2|2,261,99840,2349.63
23,0.93208,74.015,2.28705,49.87,75.41,1.35497,0.017569950556517566,101.511,0.962|0.604,2.93|38.69,3354.1|827.4,24960.0|24960.0,1560|520,0|0,2|2,260,99840,2451.14
24,0.85977,75.933,2.28735,49.85,74.58,1.42758,0.017289686274214115,101.397,0.961|0.606,2.95|38.47,3354.1|829.0,24960.0|24960.0,1560|520,0|0,2|2,261,99840,2552.54
25,0.80254,77.392,2.39831,49.25,73.93,1.59577,0.016996633405133656,101.462,0.962|0.603,2.92|38.76,3354.1|828.7,24960.0|24960.0,1560|520,0|0,2|2,261,99840,2654.0
26,0.74737,78.767,2.35459,49.19,74.61,1.60722,0.016691306063588582,102.826,0.945|0.640,4.72|34.76,3357.4|830.6,24960.0|24960.0,1560|520,0|0,2|2,280,99840,2756.83
27,0.68602,80.305,2.31882,50.92,75.96,1.6328,0.016374239897486896,101.573,0.960|0.603,3.16|38.85,3354.1|833.6,24960.0|24960.0,1560|520,0|0,2|2,260,99840,2858.4
28,0.63989,81.562,2.35512,50.49,74.98,1.71523,0.01604599114862375,101.452,0.962|0.606,2.89|38.48,3354.1|831.2,24960.0|24960.0,1560|520,0|0,2|2,262,99840,2959.85
29,0.59497,82.751,2.44406,49.15,73.68,1.84909,0.01570713567684432,101.788,0.957|0.614,3.43|37.59,3357.4|825.2,24960.0|24960.0,1560|520,0|0,2|2,265,99840,3061.64
30,0.54247,84.295,2.39147,50.37,74.96,1.849,0.015358267949789966,101.661,0.961|0.605,3.02|38.70,3354.1|828.7,24960.0|24960.0,1560|520,0|0,2|2,260,99840,3163.3
31,0.49814,85.484,2.3986,51.05,75.27,1.90046,0.015,101.241,0.962|0.608,2.93|38.23,3354.1|827.7,24960.0|24960.0,1560|520,0|0,2|2,260,99840,3264.54
32,0.45953,86.656,2.39418,51.0,75.3,1.93465,0.01463296035119862,101.252,0.962|0.606,2.89|38.38,3354.1|826.9,24960.0|24960.0,1560|520,0|0,2|2,260,99840,3365.8
33,0.41195,87.951,2.46413,51.66,75.27,2.05218,0.014257792915650727,101.201,0.963|0.607,2.96|38.27,3354.1|832.2,24960.0|24960.0,1560|520,0|0,2|2,260,99840,3467.0
34,0.37167,89.237,2.42549,51.83,75.47,2.05382,0.01387515586452103,101.462,0.962|0.607,2.97|38.41,3354.1|827.7,24960.0|24960.0,1560|520,0|0,2|2,261,99840,3568.46
35,0.33188,90.378,2.45333,51.44,75.24,2.12145,0.013485720473218152,101.628,0.960|0.605,3.10|38.65,3354.1|825.2,24960.0|24960.0,1560|520,0|0,2|2,261,99840,3670.09
36,0.30647,91.2,2.47065,51.83,75.29,2.16418,0.013090169943749475,101.405,0.961|0.606,3.06|38.44,3354.1|827.7,24960.0|24960.0,1560|520,0|0,2|2,260,99840,3771.49
37,0.26579,92.599,2.39025,52.76,75.73,2.12446,0.012689198206152656,101.373,0.962|0.606,2.95|38.43,3354.1|828.3,24960.0|24960.0,1560|520,0|0,2|2,260,99840,3872.87
38,0.23754,93.451,2.48278,52.52,75.49,2.24524,0.012283508701106558,102.373,0.952|0.635,4.07|35.29,3358.4|827.7,24960.0|24960.0,1560|520,0|0,2|2,278,99840,3975.24
39,0.19775,94.748,2.43183,52.76,75.94,2.23408,0.011873813145857249,102.329,0.954|0.616,3.71|37.60,3357.4|830.4,24960.0|24960.0,1560|520,0|0,2|2,267,99840,4077.57
40,0.16902,95.603,2.4093,53.16,76.26,2.24028,0.011460830285624118,101.402,0.961|0.606,3.02|38.53,3354.1|827.2,24960.0|24960.0,1560|520,0|0,2|2,261,99840,4178.97
41,0.14804,96.295,2.39554,53.5,76.47,2.2475,0.011045284632676535,101.405,0.962|0.605,2.92|38.63,3354.1|827.7,24960.0|24960.0,1560|520,0|0,2|2,261,99840,4280.38
