epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
70,0.01071,99.969,1.88082,59.05,80.07,1.87011,0.001042882397605871,120.708,0.937|0.614,4.27|43.45,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,491,99840,8237.05
71,0.01049,99.978,1.88037,59.0,80.07,1.86989,0.0008645454235739902,117.764,0.964|0.634,1.39|39.85,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,8354.81
72,0.01057,99.97,1.88038,59.0,80.05,1.86981,0.0007022351411174866,117.443,0.966|0.633,1.20|39.88,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,8472.25
73,0.01041,99.976,1.88044,59.14,79.83,1.87003,0.00055623629762519,119.573,0.947|0.622,3.16|42.07,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,501,99840,8591.83
74,0.01045,99.98,1.8803,59.09,79.98,1.86986,0.0004268050246793276,117.337,0.966|0.636,1.30|39.56,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,8709.16
75,0.01032,99.974,1.88103,58.95,79.8,1.87071,0.00031416838871368925,118.594,0.956|0.627,2.18|41.00,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,511,99840,8827.76
76,0.01033,99.977,1.87706,59.24,79.91,1.86673,0.0002185239926619431,117.185,0.968|0.635,1.10|39.70,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,8944.94
77,0.01035,99.984,1.88055,59.05,79.93,1.8702,0.00014003962929495128,120.995,0.932|0.611,4.63|43.84,3528.5|920.0,24960.0|24960.0,520|520,0|0,2|2,488,99840,9065.94
78,0.01034,99.977,1.88056,58.98,79.99,1.87023,7.885298685522235e-05,117.246,0.966|0.633,1.18|39.90,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,9183.18
79,0.01046,99.975,1.88059,59.08,79.95,1.87013,3.5071407504956296e-05,117.308,0.967|0.634,1.10|39.71,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,9300.49
80,0.01031,99.973,1.87807,59.14,80.02,1.86776,8.771699011416168e-06,117.131,0.968|0.634,1.03|39.63,3528.5|873.0,24960.0|24960.0,520|520,0|0,2|2,519,99840,9417.62
