epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
67,0.34378,89.109,1.57733,63.2,87.03,1.23355,0.03320571350905466,19.09,0.920|0.944,1.29|0.20,536.9|441.7,3120.0|3120.0,780|260,776|776,0|2,258,49920,1280.09
68,0.3431,89.227,1.7291,61.36,85.01,1.386,0.032725424859373686,19.089,0.919|0.944,1.31|0.17,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1299.17
69,0.34282,89.012,1.59401,63.67,86.82,1.25119,0.032241962670587314,19.127,0.914|0.939,1.40|0.29,536.9|440.2,3120.0|3120.0,780|260,773|773,0|2,255,49920,1318.3
70,0.29776,90.617,1.56843,64.35,87.42,1.27067,0.03175552554486822,19.008,0.921|0.948,1.27|0.10,536.9|440.8,3120.0|3120.0,780|260,777|777,0|2,259,49920,1337.31
71,0.29592,90.669,1.584,64.64,87.36,1.28808,0.031266313306468015,19.151,0.913|0.944,1.42|0.21,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1356.46
72,0.28447,90.927,1.51889,65.31,88.39,1.23441,0.030774526919631087,19.034,0.918|0.946,1.31|0.18,532.9|441.5,3120.0|3120.0,780|260,775|775,0|2,258,49920,1375.49
73,0.28887,90.98,1.61513,64.02,87.04,1.32626,0.03028036840604019,19.052,0.916|0.945,1.36|0.19,532.9|440.8,3120.0|3120.0,780|260,775|775,0|2,257,49920,1394.55
74,0.27671,91.366,1.59381,64.02,88.29,1.31709,0.029784040761827658,19.026,0.913|0.948,1.42|0.11,532.9|440.8,3120.0|3120.0,780|260,777|777,0|2,259,49920,1413.57
75,0.27932,91.22,1.61313,63.56,86.84,1.33381,0.029285747874186342,19.04,0.914|0.947,1.40|0.15,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1432.61
76,0.26369,91.667,1.5712,64.69,87.12,1.30751,0.028785694437614417,19.059,0.915|0.945,1.38|0.16,532.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1451.67
77,0.23091,92.829,1.53108,64.65,88.3,1.30017,0.028284085869828664,19.02,0.914|0.944,1.39|0.21,536.9|441.4,3120.0|3120.0,780|260,774|774,0|2,257,49920,1470.69
78,0.22273,93.045,1.53065,64.89,88.15,1.30792,0.027781128227380592,19.091,0.910|0.944,1.46|0.18,536.9|440.2,3120.0|3120.0,780|260,776|776,0|2,258,49920,1489.78
79,0.21643,93.377,1.67362,63.09,86.26,1.45718,0.027277028121010162,19.213,0.914|0.944,1.40|0.17,536.9|441.0,3120.0|3120.0,780|260,775|775,0|2,256,49920,1509.0
80,0.23014,92.708,1.61096,64.61,87.52,1.38082,0.026771992630771825,18.988,0.923|0.946,1.23|0.19,532.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1527.98
81,0.22631,93.013,1.54665,65.69,87.97,1.32033,0.02626622922096782,18.931,0.921|0.948,1.25|0.15,532.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1546.91
82,0.19954,93.738,1.57526,65.1,87.22,1.37572,0.025759945654923573,19.423,0.911|0.930,1.50|0.51,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1566.34
83,0.18458,94.317,1.5314,66.26,88.15,1.34683,0.025253349909640278,19.072,0.915|0.946,1.38|0.21,532.9|441.4,3120.0|3120.0,780|260,773|773,0|2,256,49920,1585.41
84,0.18274,94.411,1.53693,66.67,88.01,1.35419,0.024746650090359732,19.133,0.913|0.946,1.41|0.16,536.9|440.2,3120.0|3120.0,780|260,776|776,0|2,257,49920,1604.54
85,0.16055,95.15,1.55058,65.62,88.0,1.39003,0.024240054345076437,19.019,0.920|0.948,1.28|0.16,536.9|441.1,3120.0|3120.0,780|260,776|776,0|2,258,49920,1623.56
86,0.16597,94.972,1.53303,65.84,87.87,1.36706,0.023733770779032187,18.994,0.914|0.949,1.40|0.15,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1642.56
87,0.17427,94.679,1.56955,66.08,88.18,1.39528,0.023228007369228178,19.066,0.917|0.944,1.33|0.21,536.9|441.5,3120.0|3120.0,780|260,775|775,0|2,257,49920,1661.62
88,0.15369,95.258,1.55324,65.88,88.21,1.39956,0.02272297187898984,19.06,0.910|0.945,1.48|0.15,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,257,49920,1680.68
89,0.13506,95.968,1.56668,65.42,88.24,1.43162,0.022218871772619414,19.135,0.905|0.946,1.57|0.20,536.9|450.2,3120.0|3120.0,780|260,775|775,0|2,258,49920,1699.82
90,0.13676,95.881,1.57544,65.9,87.75,1.43868,0.02171591413017134,19.259,0.907|0.947,1.53|0.15,536.9|440.2,3120.0|3120.0,780|260,776|776,0|2,256,49920,1719.08
91,0.12789,96.204,1.54013,66.48,88.37,1.41224,0.021214305562385592,19.152,0.912|0.942,1.44|0.22,536.9|440.8,3120.0|3120.0,780|260,775|775,0|2,257,49920,1738.23
92,0.11629,96.591,1.57519,65.03,88.04,1.4589,0.020714252125813667,19.1,0.907|0.946,1.54|0.18,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1757.33
93,0.12065,96.454,1.48181,67.05,88.79,1.36116,0.020215959238172345,19.114,0.916|0.945,1.35|0.14,532.9|440.8,3120.0|3120.0,780|260,777|777,0|2,259,49920,1776.44
94,0.10554,96.923,1.52997,66.37,88.65,1.42443,0.019719631593959817,19.074,0.913|0.948,1.42|0.13,536.9|440.8,3120.0|3120.0,780|260,777|777,0|2,259,49920,1795.52
95,0.10303,97.081,1.46836,67.59,89.0,1.36532,0.019225473080368916,19.079,0.908|0.946,1.52|0.20,536.9|440.2,3120.0|3120.0,780|260,775|775,0|2,257,49920,1814.59
96,0.08622,97.594,1.44514,68.1,89.32,1.35891,0.018733686693531985,19.103,0.908|0.947,1.52|0.16,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1833.7
97,0.08003,97.778,1.46053,67.64,89.22,1.3805,0.01824447445513179,19.09,0.914|0.946,1.40|0.18,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1852.79
98,0.08542,97.55,1.49158,68.0,88.36,1.40616,0.0177580373294127,18.994,0.913|0.951,1.41|0.16,536.9|440.8,3120.0|3120.0,780|260,776|776,0|2,258,49920,1871.78
99,0.06886,98.087,1.4675,68.2,88.74,1.39864,0.017274575140626316,19.085,0.903|0.945,1.62|0.22,536.9|440.8,3120.0|3120.0,780|260,774|774,0|2,255,49920,1890.87
100,0.07395,97.937,1.48835,68.04,88.67,1.41441,0.016794286490945342,19.304,0.898|0.950,1.73|0.15,536.9|440.8,3120.0|3120.0,780|260,775|775,0|2,258,49920,1910.17
101,0.06126,98.405,1.4365,68.94,89.69,1.37524,0.016317368678879497,19.126,0.907|0.948,1.53|0.15,536.9|440.8,3120.0|3120.0,780|260,777|777,0|2,259,49920,1929.3
