epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
28,0.5864,81.454,1.60524,59.84,86.01,1.01883,0.019022213898145176,16.272,0.942|0.821,0.64|2.00,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,192,49920,458.3
29,0.55553,82.436,1.53096,61.59,86.83,0.97544,0.018932954843342592,16.529,0.934|0.813,0.79|2.20,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,193,49920,474.83
30,0.53601,82.893,1.56734,60.83,86.07,1.03133,0.01884002620634378,16.313,0.935|0.820,0.77|2.00,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,188,49920,491.14
31,0.47498,84.842,1.57829,60.65,86.78,1.10332,0.018743466161445822,17.422,0.930|0.779,0.89|2.88,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,158,49920,508.56
32,0.45468,85.585,1.5924,60.57,86.59,1.13772,0.01864331437469738,17.913,0.926|0.764,0.99|3.19,862.7|402.1,3120.0|3120.0,520|260,0|0,0|2,149,49920,526.48
33,0.42857,86.214,1.62707,61.21,86.66,1.1985,0.018539611987604256,17.504,0.930|0.787,0.89|2.76,863.4|402.0,3120.0|3120.0,520|260,0|0,0|2,162,49920,543.98
34,0.42198,86.528,1.57096,61.86,87.17,1.14899,0.018432401600228823,16.992,0.936|0.798,0.76|2.47,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,151,49920,560.97
35,0.39284,87.482,1.5747,62.27,87.07,1.18186,0.01832172725369024,17.015,0.936|0.787,0.74|2.67,863.4|402.1,3120.0|3120.0,520|260,0|0,0|2,148,49920,577.99
36,0.36557,88.221,1.57019,62.84,87.34,1.20461,0.018207634412072765,17.468,0.932|0.782,0.86|2.87,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,158,49920,595.45
37,0.3415,89.111,1.53329,62.96,87.71,1.19179,0.018090169943749474,17.001,0.929|0.790,0.90|2.60,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,167,49920,612.45
38,0.31925,89.778,1.60199,62.67,87.56,1.28274,0.01796938210212915,17.057,0.931|0.793,0.88|2.59,862.7|401.7,3120.0|3120.0,520|260,0|0,0|2,158,49920,629.51
39,0.31484,90.024,1.60439,62.69,87.22,1.28955,0.017845320505834174,16.949,0.923|0.819,1.00|2.11,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,148,49920,646.46
40,0.29361,90.663,1.62967,62.28,86.51,1.33607,0.01771803611831762,16.809,0.937|0.800,0.75|2.40,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,181,49920,663.27
41,0.29351,90.727,1.59012,62.86,87.38,1.29662,0.01758758122692791,16.918,0.925|0.845,0.95|1.67,862.7|401.8,3120.0|3120.0,520|260,0|0,0|2,198,49920,680.19
42,0.26455,91.607,1.59687,63.62,87.22,1.33232,0.0174540094214296,16.893,0.932|0.807,0.82|2.24,862.7|401.7,3120.0|3120.0,520|260,0|0,0|2,174,49920,697.08
43,0.23257,92.796,1.63367,63.06,87.11,1.4011,0.017317375571989157,17.154,0.937|0.786,0.76|2.75,862.7|402.8,3120.0|3120.0,520|260,0|0,0|2,166,49920,714.23
44,0.22981,92.7,1.61375,63.32,86.89,1.38395,0.01717773580663479,17.125,0.933|0.786,0.84|2.69,862.7|402.2,3120.0|3120.0,520|260,0|0,0|2,172,49920,731.36
45,0.22516,92.981,1.59882,63.48,87.58,1.37366,0.01703514748819948,17.462,0.924|0.801,1.02|2.48,862.7|402.0,3120.0|3120.0,520|260,0|0,0|2,171,49920,748.82
46,0.22379,93.013,1.59162,64.23,87.5,1.36783,0.016889669190756868,17.002,0.938|0.791,0.73|2.61,862.7|403.1,3120.0|3120.0,520|260,0|0,0|2,173,49920,765.82
47,0.21061,93.466,1.64986,62.78,86.86,1.43924,0.016741360675559473,16.92,0.938|0.790,0.76|2.66,863.4|402.0,3120.0|3120.0,520|260,0|0,0|2,172,49920,782.74
48,0.20353,93.756,1.66738,62.83,86.8,1.46385,0.01659028286648932,17.097,0.923|0.857,1.03|1.51,862.7|401.9,3120.0|3120.0,520|260,0|0,0|2,188,49920,799.84
49,0.1973,93.9,1.62693,64.35,87.49,1.42963,0.016436497825030885,16.956,0.929|0.795,0.89|2.53,862.7|401.7,3120.0|3120.0,520|260,0|0,0|2,179,49920,816.8
50,0.17546,94.605,1.67284,63.36,86.51,1.49737,0.016280068724776796,16.985,0.933|0.797,0.83|2.52,862.7|401.7,3120.0|3120.0,520|260,0|0,0|2,166,49920,833.78
51,0.17826,94.537,1.64921,63.65,87.21,1.47096,0.016121059825476628,17.476,0.936|0.779,0.79|2.86,863.4|401.9,3120.0|3120.0,520|260,0|0,0|2,165,49920,851.26
