epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,wall_time_s,data_time_s,est_pipe_time_s,est_pipe_time_comm_s,peak_mem_mb,stage_mem_mb,max_weight_versions,v_max,samples,cum_wall_s,cum_est_pipe_s,overfit_warn
57,0.40516,87.157,1.88129,57.74,83.87,1.47612,0.03779139827308956,29.946,3.709,14.566,14.779,671.9,13.2|76.0,2|1,1,49920,1674.05,834.64,0
58,0.37698,88.025,1.74791,60.38,84.98,1.37093,0.037353441689925146,29.868,3.419,14.564,14.776,670.9,13.2|76.0,2|1,1,49920,1703.92,849.2,0
59,0.36596,88.45,1.73052,60.93,85.63,1.36456,0.03691041041753613,29.223,2.511,14.624,14.819,671.9,13.2|76.0,2|1,1,49920,1733.14,863.83,0
60,0.36728,88.361,1.86792,58.66,84.27,1.50064,0.03646248644941716,28.887,2.41,14.447,14.68,671.9,13.2|76.0,2|1,1,49920,1762.03,878.27,0
61,0.37403,88.235,1.7619,60.26,85.13,1.38787,0.03600985378894086,28.516,2.019,14.335,14.585,671.9,13.2|76.0,2|1,1,49920,1790.54,892.61,0
62,0.35763,88.668,1.73297,60.84,85.21,1.37534,0.0355526983737708,29.066,4.065,14.491,14.723,672.7,13.2|76.0,2|1,1,49920,1819.61,907.1,0
63,0.34622,89.151,1.64084,61.83,86.22,1.29462,0.035091207999479866,29.926,3.679,14.648,14.851,671.9,13.2|76.0,2|1,1,49920,1849.54,921.75,0
64,0.32969,89.647,1.78893,60.39,84.89,1.45924,0.03462557224240544,29.554,4.492,14.326,14.579,671.9,13.2|76.0,2|1,1,49920,1879.09,936.07,0
65,0.32392,89.836,1.73014,60.83,85.67,1.40623,0.03415598238177307,29.149,3.177,14.487,14.704,671.9,13.2|76.0,2|1,1,49920,1908.24,950.56,0
66,0.28845,90.871,1.60243,63.45,86.73,1.31398,0.0336826313211205,29.009,0.544,14.666,14.851,634.9,13.2|76.0,2|1,1,49920,1937.25,965.23,0
67,0.29318,90.771,1.9153,57.64,83.64,1.62212,0.03320571350905466,28.985,5.264,14.439,14.69,671.9,13.2|76.0,2|1,1,49920,1966.23,979.67,0
68,0.30898,90.367,1.75999,61.67,85.27,1.45101,0.032725424859373686,29.783,3.927,14.433,14.64,671.9,13.2|76.0,2|1,1,49920,1996.02,994.1,0
