epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,wall_time_s,data_time_s,est_pipe_time_s,est_pipe_time_comm_s,peak_mem_mb,stage_mem_mb,max_weight_versions,v_max,samples,cum_wall_s,cum_est_pipe_s,overfit_warn
104,0.0259,99.453,1.33308,69.98,90.11,1.30718,0.014908792000520142,30.062,3.775,14.539,14.751,634.9,13.2|76.0,2|1,1,49920,3056.3,1517.65,0
105,0.02114,99.571,1.33957,70.33,89.87,1.31844,0.014447301626229203,29.874,4.684,14.583,14.77,671.9,13.2|76.0,2|1,1,49920,3086.18,1532.23,0
106,0.01991,99.619,1.35156,70.08,89.91,1.33166,0.01399014621105914,29.582,4.028,14.597,14.783,671.9,13.2|76.0,2|1,1,49920,3115.76,1546.83,0
107,0.01432,99.772,1.28497,71.08,90.52,1.27065,0.013537513550582853,28.921,2.777,14.614,14.811,671.9,13.2|76.0,2|1,1,49920,3144.68,1561.44,0
108,0.01156,99.83,1.29358,70.8,90.65,1.28202,0.01308958958246388,29.159,4.915,14.571,14.795,641.2,13.2|76.0,2|1,1,49920,3173.84,1576.02,0
109,0.01076,99.844,1.27769,70.64,90.51,1.26693,0.01264655831007486,29.153,2.717,14.608,14.802,672.7,13.2|76.0,2|1,1,49920,3202.99,1590.62,0
110,0.00885,99.882,1.22938,71.64,90.69,1.22054,0.012208601726910446,29.703,5.432,14.356,14.607,671.9,13.2|76.0,2|1,1,49920,3232.69,1604.98,0
111,0.00743,99.914,1.20732,72.12,91.11,1.19989,0.011775899741825947,29.259,4.928,14.378,14.624,670.9,13.2|76.0,2|1,1,49920,3261.95,1619.36,0
112,0.00704,99.916,1.20017,72.31,91.13,1.19314,0.011348630105132252,29.077,3.576,14.53,14.73,671.9,13.2|76.0,2|1,1,49920,3291.03,1633.89,0
113,0.0065,99.928,1.18813,72.28,91.17,1.18163,0.010926968335577564,28.971,2.254,14.634,14.828,641.2,13.2|76.0,2|1,1,49920,3320.0,1648.52,0
114,0.00616,99.916,1.19015,72.49,91.48,1.18399,0.010511087648245758,28.939,5.531,14.46,14.702,671.9,13.2|76.0,2|1,1,49920,3348.94,1662.98,0
115,0.00644,99.92,1.1663,72.52,91.46,1.15986,0.010101158883401077,29.638,3.902,14.585,14.797,640.2,13.2|76.0,2|1,1,49920,3378.58,1677.57,0
116,0.00611,99.926,1.16316,72.5,91.51,1.15705,0.009697350436308427,29.986,3.631,14.655,14.855,671.9,13.2|76.0,2|1,1,49920,3408.56,1692.22,0
117,0.00611,99.918,1.15636,72.26,91.22,1.15026,0.009299828188058013,29.15,3.999,14.483,14.717,671.9,13.2|76.0,2|1,1,49920,3437.71,1706.7,0
