epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
109,0.00676,99.95,1.27984,69.45,89.62,1.27309,0.005058623324029944,16.436,0.925|0.669,1.07|4.90,1704.1|547.8,3120.0|3120.0,260|130,0|0,0|2,74,49920,1781.85
110,0.00662,99.96,1.2814,69.17,89.55,1.27478,0.004883440690764178,16.261,0.933|0.675,0.92|4.76,1704.9|525.3,3120.0|3120.0,260|130,0|0,0|2,75,49920,1798.11
111,0.00659,99.96,1.27841,69.33,89.64,1.27183,0.004710359896730378,16.653,0.908|0.750,1.36|3.56,1704.7|526.0,3120.0|3120.0,260|130,0|0,0|2,92,49920,1814.76
112,0.00659,99.956,1.28078,69.36,89.72,1.27418,0.0045394520420529005,16.235,0.916|0.729,1.16|3.73,1705.1|547.8,3120.0|3120.0,260|130,0|0,0|2,88,49920,1831.0
113,0.00645,99.964,1.28101,69.27,89.73,1.27456,0.004370787334231026,17.018,0.902|0.730,1.47|3.96,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,87,49920,1848.02
114,0.00659,99.954,1.27698,69.39,89.64,1.2704,0.004204435059298303,16.349,0.915|0.758,1.19|3.36,1704.1|525.3,3120.0|3120.0,260|130,0|0,0|2,93,49920,1864.37
115,0.00681,99.95,1.27865,69.16,89.67,1.27184,0.004040463553360431,16.405,0.928|0.665,0.99|4.94,1705.1|525.2,3120.0|3120.0,260|130,0|0,0|2,71,49920,1880.77
116,0.00641,99.958,1.27721,69.29,89.72,1.2708,0.003878940174523371,16.559,0.922|0.743,1.10|3.57,1705.1|526.0,3120.0|3120.0,260|130,0|0,0|2,93,49920,1897.33
117,0.00638,99.96,1.27693,69.31,89.7,1.27055,0.003719931275223205,16.303,0.921|0.667,1.13|4.87,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,75,49920,1913.63
118,0.00643,99.958,1.27409,69.42,89.77,1.26766,0.0035635021749691165,16.686,0.910|0.763,1.31|3.30,1704.1|526.0,3120.0|3120.0,260|130,0|0,0|2,96,49920,1930.32
119,0.00634,99.96,1.27305,69.46,89.72,1.2667,0.0034097171335106826,16.527,0.917|0.735,1.18|3.68,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,93,49920,1946.85
120,0.00632,99.966,1.27302,69.6,89.81,1.2667,0.0032586393244405268,16.749,0.919|0.736,1.15|3.72,1704.8|525.3,3120.0|3120.0,260|130,0|0,0|2,91,49920,1963.59
121,0.00634,99.958,1.27358,69.29,89.71,1.26724,0.0031103308092431336,16.489,0.908|0.758,1.30|3.41,1705.1|525.6,3120.0|3120.0,260|130,0|0,0|2,92,49920,1980.08
122,0.00609,99.966,1.27232,69.48,89.75,1.26623,0.0029648525118005187,16.413,0.909|0.763,1.31|3.30,1705.1|547.8,3120.0|3120.0,260|130,0|0,0|2,93,49920,1996.5
123,0.00629,99.954,1.2744,69.5,89.75,1.2681,0.0028222641933652115,16.189,0.944|0.676,0.73|4.68,1705.1|525.9,3120.0|3120.0,260|130,0|0,0|2,78,49920,2012.69
124,0.00606,99.962,1.27336,69.71,89.83,1.2673,0.0026826244280108436,16.354,0.909|0.761,1.28|3.21,1704.7|546.8,3120.0|3120.0,260|130,0|0,0|2,93,49920,2029.04
125,0.00611,99.97,1.26836,69.56,89.81,1.26225,0.002545990578570404,16.761,0.905|0.749,1.26|3.48,1704.1|547.8,3120.0|3120.0,260|130,0|0,0|2,93,49920,2045.8
126,0.00603,99.972,1.27037,69.42,89.68,1.26434,0.0024124187730720915,16.502,0.922|0.739,1.10|3.64,1705.1|547.8,3120.0|3120.0,260|130,0|0,0|2,92,49920,2062.3
127,0.00602,99.97,1.27316,69.55,89.82,1.26714,0.0022819638816823796,16.703,0.913|0.740,1.24|3.74,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,87,49920,2079.01
128,0.00613,99.964,1.27153,69.47,89.77,1.2654,0.002154679494165829,16.322,0.946|0.674,0.70|4.78,1704.1|547.3,3120.0|3120.0,260|130,0|0,0|2,76,49920,2095.33
129,0.00618,99.96,1.27232,69.42,89.74,1.26614,0.002030617897870851,16.438,0.905|0.765,1.35|3.23,1704.8|547.8,3120.0|3120.0,260|130,0|0,0|2,96,49920,2111.77
130,0.00621,99.962,1.27335,69.43,89.74,1.26714,0.0019098300562505265,16.619,0.917|0.745,1.19|3.61,1705.1|545.6,3120.0|3120.0,260|130,0|0,0|2,90,49920,2128.38
131,0.00594,99.968,1.27138,69.53,89.61,1.26545,0.0017923655879272394,16.293,0.918|0.771,1.12|3.05,1704.1|548.3,3120.0|3120.0,260|130,0|0,0|2,98,49920,2144.68
132,0.00588,99.98,1.27009,69.55,89.66,1.2642,0.0016782727463097624,16.663,0.927|0.673,1.06|4.89,1704.1|525.3,3120.0|3120.0,260|130,0|0,0|2,75,49920,2161.34
133,0.00601,99.962,1.26826,69.59,89.8,1.26225,0.0015675983997711796,16.38,0.913|0.751,1.22|3.45,1704.1|546.1,3120.0|3120.0,260|130,0|0,0|2,92,49920,2177.72
134,0.00591,99.974,1.26849,69.47,89.71,1.26257,0.0014603880123957448,16.268,0.931|0.738,0.95|3.63,1704.1|548.5,3120.0|3120.0,260|130,0|0,0|2,91,49920,2193.99
135,0.00603,99.966,1.26927,69.42,89.64,1.26324,0.001356685625302625,16.706,0.918|0.745,1.19|3.62,1704.9|547.2,3120.0|3120.0,260|130,0|0,0|2,93,49920,2210.69
136,0.006,99.974,1.26653,69.54,89.66,1.26053,0.0012565338385541792,16.507,0.918|0.750,1.17|3.54,1705.1|547.6,3120.0|3120.0,260|130,0|0,0|2,90,49920,2227.2
137,0.00604,99.968,1.26888,69.41,89.67,1.26284,0.0011599737936562149,16.763,0.898|0.739,1.47|3.77,1704.1|525.3,3120.0|3120.0,260|130,0|0,0|2,90,49920,2243.96
138,0.006,99.968,1.26618,69.62,89.71,1.26019,0.00106704515665741,16.123,0.939|0.676,0.79|4.66,1704.7|547.8,3120.0|3120.0,260|130,0|0,0|2,74,49920,2260.09
139,0.006,99.97,1.26877,69.57,89.77,1.26277,0.0009777861018548252,16.269,0.917|0.738,1.14|3.67,1704.1|526.0,3120.0|3120.0,260|130,0|0,0|2,90,49920,2276.36
140,0.00589,99.974,1.26549,69.63,89.72,1.2596,0.000892233296112236,16.289,0.925|0.762,1.06|3.26,1705.1|548.2,3120.0|3120.0,260|130,0|0,0|2,95,49920,2292.65
141,0.00592,99.968,1.26645,69.57,89.73,1.26053,0.000810421883797694,16.268,0.904|0.750,1.37|3.46,1704.8|548.3,3120.0|3120.0,260|130,0|0,0|2,90,49920,2308.91
142,0.00594,99.962,1.26889,69.51,89.78,1.26294,0.000732385472346514,16.585,0.910|0.744,1.29|3.67,1704.1|547.8,3120.0|3120.0,260|130,0|0,0|2,91,49920,2325.5
