epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,5.2957,0.661,5.23466,2.0,5.8,-0.06105,3.846153846153846e-05,35.864,0.510|0.402,17.45|20.70,3344.6|835.0,4992.0|4992.0,312|104,0|0,0|2,101,19968,35.86
2,5.12489,2.189,5.08697,2.0,11.2,-0.03792,0.0040384615384615385,36.032,0.515|0.398,17.31|20.86,3344.6|835.3,4992.0|4992.0,312|104,0|0,0|2,66,19968,71.9
