epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
58,0.01141,99.971,1.90841,58.55,79.5,1.89699,0.004292864323155684,116.915,0.969|0.631,1.17|40.35,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,516,99840,6822.13
59,0.01124,99.977,1.90694,58.44,79.69,1.8957,0.003954008851376252,117.708,0.963|0.625,1.72|41.24,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,512,99840,6939.83
60,0.01132,99.968,1.90348,58.57,79.67,1.89217,0.0036257601025131026,117.132,0.967|0.632,1.32|40.25,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,517,99840,7056.97
61,0.01093,99.976,1.89647,58.89,79.6,1.88554,0.003308693936411421,116.935,0.969|0.628,1.08|40.57,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,517,99840,7173.9
62,0.01108,99.975,1.89508,58.65,79.53,1.884,0.0030033665948663445,118.46,0.956|0.619,2.34|42.05,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,506,99840,7292.36
63,0.01086,99.973,1.88958,58.53,79.91,1.87872,0.002710313725785887,118.697,0.954|0.619,2.48|42.21,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,506,99840,7411.06
64,0.01085,99.971,1.88814,58.43,79.52,1.87729,0.002430049443482437,116.764,0.971|0.633,0.95|40.02,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,519,99840,7527.82
65,0.01067,99.977,1.88934,58.83,79.62,1.87867,0.0021630654267416026,117.626,0.964|0.626,1.66|41.03,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,512,99840,7645.45
66,0.01069,99.973,1.88751,58.73,79.6,1.87682,0.0019098300562505265,117.117,0.967|0.629,1.32|40.55,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,515,99840,7762.56
67,0.01069,99.972,1.8841,58.87,79.6,1.87341,0.0016707875928990057,118.103,0.959|0.623,2.12|41.61,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,508,99840,7880.67
68,0.01049,99.973,1.88052,58.79,79.55,1.87003,0.0014463573983949341,117.131,0.969|0.631,0.98|40.12,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,519,99840,7997.8
69,0.01054,99.975,1.88238,58.74,79.56,1.87184,0.0012369331995613663,116.808,0.971|0.632,0.93|40.11,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,519,99840,8114.61
70,0.01046,99.968,1.87932,58.75,79.58,1.86887,0.001042882397605871,116.728,0.971|0.631,0.94|40.09,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,519,99840,8231.33
71,0.01029,99.979,1.88102,58.86,79.71,1.87073,0.0008645454235739902,117.878,0.961|0.623,1.95|41.50,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,510,99840,8349.21
72,0.01046,99.975,1.87789,58.78,79.62,1.86743,0.0007022351411174866,116.766,0.971|0.632,0.93|39.93,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,519,99840,8465.98
73,0.01032,99.978,1.87871,58.8,79.59,1.86839,0.00055623629762519,118.799,0.951|0.620,3.03|42.17,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,501,99840,8584.78
74,0.01026,99.978,1.87885,58.7,79.59,1.86859,0.0004268050246793276,117.53,0.964|0.627,1.71|41.23,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,511,99840,8702.31
75,0.01016,99.982,1.88009,58.85,79.64,1.86993,0.00031416838871368925,117.967,0.961|0.625,1.97|41.16,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,510,99840,8820.28
76,0.01028,99.975,1.87844,58.83,79.54,1.86816,0.0002185239926619431,116.695,0.972|0.629,0.80|40.48,3528.5|818.8,24960.0|24960.0,520|520,0|0,2|0,519,99840,8936.97
77,0.01021,99.976,1.87742,58.86,79.62,1.86721,0.00014003962929495128,117.66,0.962|0.625,1.79|41.07,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,511,99840,9054.63
78,0.01021,99.973,1.8768,58.84,79.66,1.86659,7.885298685522235e-05,118.495,0.954|0.618,2.64|42.32,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,503,99840,9173.13
79,0.01011,99.977,1.87716,58.82,79.62,1.86705,3.5071407504956296e-05,117.948,0.960|0.623,2.09|41.60,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,508,99840,9291.07
80,0.0101,99.983,1.87861,58.94,79.63,1.86851,8.771699011416168e-06,117.42,0.965|0.629,1.55|40.56,3528.5|866.8,24960.0|24960.0,520|520,0|0,2|0,513,99840,9408.49
