epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,5.2934,0.721,5.23125,1.8,5.4,-0.06215,3.846153846153846e-05,22.869,0.958|0.596,0.76|8.96,3529.7|867.9,4992.0|4992.0,104|104,0|0,2|0,100,19968,22.87
2,5.09349,2.564,4.90191,3.0,13.0,-0.19159,0.0040384615384615385,22.671,0.975|0.605,0.45|8.67,3529.7|866.9,4992.0|4992.0,104|104,0|0,2|0,102,19968,45.54
