system,bandwidth_gbps,latency_ms,epoch_time_s,busy_frac,wait_time_s,mb_sent,msgs_sent,peak_mem_mb,epochs_timed
timeprest,,0.1,23.14,0.829|0.627,3.28|7.62,4992.0|4992.0,312.0|104.0,3347.6|826.1,2
pipedream,,0.1,22.671,0.975|0.605,0.45|8.67,4992.0|4992.0,104.0|104.0,3529.7|866.9,2
pipedream_vsync,,0.1,22.905,0.968|0.6,0.61|8.89,4992.0|4992.0,104.0|104.0,3529.7|921.6,2
timeprest,2,0.1,36.032,0.515|0.398,17.31|20.86,4992.0|4992.0,312.0|104.0,3344.6|835.3,2
pipedream,2,0.1,43.126,0.497|0.313,21.38|28.95,4992.0|4992.0,104.0|104.0,3529.7|867.9,2
pipedream_vsync,2,0.1,43.101,0.498|0.314,21.35|28.88,4992.0|4992.0,104.0|104.0,3529.7|922.8,2
timeprest,1,0.1,57.69,0.327|0.268,38.69|41.28,4992.0|4992.0,312.0|104.0,3344.6|834.8,2
pipedream,1,0.1,63.969,0.334|0.214,42.33|49.48,4992.0|4992.0,104.0|104.0,3529.7|867.9,2
pipedream_vsync,1,0.1,63.923,0.335|0.213,42.23|49.54,4992.0|4992.0,104.0|104.0,3529.7|922.6,2
