epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.33588,4.978,3.87089,12.0,30.4,-0.46498,1.5384615384615384e-05,26.483,0.460|0.448,14.08|14.24,905.8|367.8,3120.0|3120.0,260|260,0|0,2|0,130,49920,26.48
2,3.60319,14.163,3.3365,17.8,48.8,-0.26669,0.004015384615384615,27.509,0.465|0.468,14.46|14.24,905.8|367.8,3120.0|3120.0,260|260,0|0,2|0,130,49920,53.99
