epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
77,0.04425,98.98,1.46824,68.1,89.29,1.42398,0.011313634347931464,16.282,0.930|0.918,0.84|0.25,853.4|441.7,3120.0|3120.0,780|260,0|0,0|2,94,49920,1262.23
78,0.04275,98.988,1.48416,67.63,88.7,1.4414,0.011112451290952237,16.375,0.939|0.920,0.67|0.20,853.4|440.1,3120.0|3120.0,780|260,0|0,0|2,81,49920,1278.61
79,0.03713,99.225,1.43603,68.17,89.06,1.3989,0.010910811248404064,16.351,0.939|0.917,0.68|0.25,853.1|440.2,3120.0|3120.0,780|260,0|0,0|2,109,49920,1294.96
80,0.03427,99.293,1.44898,68.23,89.28,1.41471,0.01070879705230873,16.205,0.941|0.919,0.66|0.19,853.1|442.3,3120.0|3120.0,780|260,0|0,0|2,109,49920,1311.16
81,0.03411,99.241,1.43769,68.02,89.36,1.40358,0.010506491688387128,16.199,0.940|0.914,0.66|0.33,853.6|440.9,3120.0|3120.0,780|260,0|0,0|2,128,49920,1327.36
82,0.03273,99.319,1.47238,68.19,88.97,1.43965,0.010303978261969429,16.293,0.938|0.920,0.72|0.22,853.4|440.9,3120.0|3120.0,780|260,0|0,0|2,96,49920,1343.65
83,0.03216,99.335,1.41232,69.07,89.3,1.38016,0.01010133996385611,16.37,0.937|0.917,0.73|0.24,853.6|439.6,3120.0|3120.0,780|260,0|0,0|2,122,49920,1360.02
84,0.02597,99.493,1.39627,69.26,89.79,1.3703,0.009898660036143894,16.452,0.944|0.917,0.59|0.23,853.6|440.5,3120.0|3120.0,780|260,0|0,0|2,125,49920,1376.48
85,0.02388,99.549,1.39637,69.03,89.66,1.37249,0.009696021738030575,16.413,0.932|0.918,0.83|0.21,853.1|440.7,3120.0|3120.0,780|260,0|0,0|2,103,49920,1392.89
86,0.02179,99.587,1.39682,69.19,89.46,1.37503,0.009493508311612874,16.377,0.937|0.919,0.72|0.22,853.1|439.7,3120.0|3120.0,780|260,0|0,0|2,123,49920,1409.27
87,0.01846,99.688,1.37832,69.45,90.11,1.35987,0.009291202947691271,16.424,0.941|0.913,0.67|0.29,853.4|440.9,3120.0|3120.0,780|260,0|0,0|2,109,49920,1425.69
88,0.01902,99.665,1.34762,69.49,90.36,1.3286,0.009089188751595936,16.345,0.934|0.921,0.75|0.16,853.4|440.4,3120.0|3120.0,780|260,0|0,0|2,86,49920,1442.03
89,0.01486,99.77,1.34178,69.86,90.01,1.32692,0.008887548709047765,16.408,0.942|0.918,0.64|0.23,853.1|441.2,3120.0|3120.0,780|260,0|0,0|2,113,49920,1458.44
90,0.01305,99.818,1.31924,70.3,90.34,1.30619,0.008686365652068536,16.401,0.939|0.918,0.67|0.24,853.4|441.9,3120.0|3120.0,780|260,0|0,0|2,97,49920,1474.84
91,0.01112,99.844,1.32983,70.27,90.52,1.31871,0.008485722224954237,16.381,0.937|0.919,0.71|0.21,853.6|439.9,3120.0|3120.0,780|260,0|0,0|2,71,49920,1491.22
92,0.01177,99.832,1.37368,69.54,90.2,1.36191,0.008285700850325466,16.446,0.937|0.912,0.71|0.35,853.4|441.0,3120.0|3120.0,780|260,0|0,0|2,108,49920,1507.67
93,0.01294,99.794,1.33283,70.26,90.02,1.31989,0.008086383695268937,16.447,0.934|0.917,0.77|0.25,853.4|440.9,3120.0|3120.0,780|260,0|0,0|2,99,49920,1524.12
94,0.01015,99.882,1.30728,70.07,90.52,1.29712,0.007887852637583927,16.382,0.941|0.916,0.66|0.20,853.1|440.3,3120.0|3120.0,780|260,0|0,0|2,101,49920,1540.5
95,0.00897,99.902,1.28702,70.63,90.43,1.27805,0.007690189232147566,16.459,0.935|0.914,0.76|0.31,853.9|440.5,3120.0|3120.0,780|260,0|0,0|2,114,49920,1556.96
96,0.00895,99.904,1.27889,70.75,90.54,1.26994,0.007493474677412793,16.349,0.947|0.917,0.54|0.22,853.1|440.1,3120.0|3120.0,780|260,0|0,0|2,128,49920,1573.31
97,0.00787,99.918,1.29066,70.48,90.45,1.28278,0.007297789782052716,16.508,0.936|0.909,0.74|0.41,853.1|439.4,3120.0|3120.0,780|260,0|0,0|2,107,49920,1589.82
98,0.00862,99.9,1.27444,70.92,90.32,1.26582,0.007103214931765079,16.383,0.939|0.924,0.68|0.16,852.9|440.2,3120.0|3120.0,780|260,0|0,0|2,102,49920,1606.2
99,0.00785,99.91,1.26362,70.77,90.59,1.25577,0.006909830056250526,16.379,0.949|0.916,0.50|0.23,853.6|440.2,3120.0|3120.0,780|260,0|0,0|2,139,49920,1622.58
100,0.0078,99.918,1.25251,71.05,90.54,1.24472,0.0067177145963781375,16.211,0.938|0.922,0.70|0.23,853.4|440.1,3120.0|3120.0,780|260,0|0,0|2,83,49920,1638.79
101,0.00741,99.914,1.26165,71.02,90.48,1.25423,0.0065269474715517984,16.21,0.937|0.923,0.71|0.18,853.1|441.4,3120.0|3120.0,780|260,0|0,0|2,108,49920,1655.0
102,0.00743,99.932,1.25533,71.2,90.7,1.2479,0.006337607047290773,16.116,0.933|0.923,0.79|0.16,853.1|442.0,3120.0|3120.0,780|260,0|0,0|2,100,49920,1671.11
103,0.00732,99.926,1.25336,71.26,90.68,1.24604,0.00614977110303782,16.353,0.938|0.917,0.69|0.26,853.6|440.6,3120.0|3120.0,780|260,0|0,0|2,108,49920,1687.47
104,0.00697,99.928,1.23828,71.62,90.68,1.23131,0.005963516800208056,16.326,0.942|0.922,0.64|0.20,853.4|441.6,3120.0|3120.0,780|260,0|0,0|2,91,49920,1703.79
105,0.00683,99.934,1.2425,71.25,90.79,1.23567,0.005778920650491681,16.358,0.938|0.918,0.68|0.21,853.4|440.9,3120.0|3120.0,780|260,0|0,0|2,91,49920,1720.15
106,0.00632,99.954,1.23078,71.44,90.7,1.22446,0.005596058484423656,16.323,0.933|0.916,0.76|0.31,853.1|442.0,3120.0|3120.0,780|260,0|0,0|2,105,49920,1736.47
107,0.00599,99.95,1.23324,71.59,91.03,1.22725,0.005415005420233141,16.427,0.941|0.919,0.65|0.18,853.4|439.3,3120.0|3120.0,780|260,0|0,0|2,112,49920,1752.9
108,0.00626,99.942,1.23153,71.34,90.68,1.22527,0.0052358358329855515,16.234,0.930|0.924,0.82|0.15,853.1|442.0,3120.0|3120.0,780|260,0|0,0|2,100,49920,1769.14
109,0.00644,99.936,1.2201,71.69,91.0,1.21366,0.005058623324029944,16.39,0.930|0.916,0.84|0.31,853.4|440.7,3120.0|3120.0,780|260,0|0,0|2,53,49920,1785.53
110,0.00623,99.94,1.21425,71.88,90.81,1.20802,0.004883440690764178,16.36,0.941|0.916,0.63|0.23,853.4|440.8,3120.0|3120.0,780|260,0|0,0|2,123,49920,1801.89
111,0.00635,99.93,1.20979,71.76,91.04,1.20345,0.004710359896730378,16.366,0.929|0.918,0.82|0.18,853.4|440.1,3120.0|3120.0,780|260,0|0,0|2,99,49920,1818.25
112,0.00585,99.954,1.21189,71.86,90.92,1.20604,0.0045394520420529005,16.397,0.944|0.915,0.58|0.23,853.4|440.2,3120.0|3120.0,780|260,0|0,0|2,114,49920,1834.65
113,0.00572,99.952,1.20831,71.89,91.08,1.20259,0.004370787334231026,16.441,0.936|0.912,0.74|0.29,853.6|440.4,3120.0|3120.0,780|260,0|0,0|2,101,49920,1851.09
114,0.00585,99.946,1.2059,71.78,91.12,1.20005,0.004204435059298303,16.443,0.936|0.911,0.75|0.33,853.4|438.7,3120.0|3120.0,780|260,0|0,0|2,107,49920,1867.53
115,0.00569,99.946,1.20528,72.0,91.13,1.19958,0.004040463553360431,16.288,0.937|0.919,0.71|0.25,853.1|440.7,3120.0|3120.0,780|260,0|0,0|2,119,49920,1883.82
116,0.00568,99.952,1.20984,71.82,91.09,1.20415,0.003878940174523371,16.322,0.937|0.920,0.70|0.22,853.4|440.8,3120.0|3120.0,780|260,0|0,0|2,110,49920,1900.14
117,0.00543,99.97,1.19554,71.83,91.05,1.1901,0.003719931275223205,16.388,0.935|0.916,0.74|0.25,853.9|441.1,3120.0|3120.0,780|260,0|0,0|2,103,49920,1916.53
118,0.00598,99.942,1.19469,72.13,91.12,1.18871,0.0035635021749691165,16.334,0.941|0.920,0.65|0.21,853.4|440.3,3120.0|3120.0,780|260,0|0,0|2,117,49920,1932.86
119,0.00569,99.954,1.20011,71.97,91.26,1.19442,0.0034097171335106826,16.311,0.935|0.917,0.75|0.22,853.6|442.0,3120.0|3120.0,780|260,0|0,0|2,87,49920,1949.18
120,0.00557,99.96,1.19183,72.15,91.24,1.18626,0.0032586393244405268,16.276,0.942|0.918,0.64|0.19,853.6|440.3,3120.0|3120.0,780|260,0|0,0|2,126,49920,1965.45
121,0.00555,99.956,1.19237,71.77,91.26,1.18682,0.0031103308092431336,16.395,0.935|0.916,0.74|0.23,853.1|441.1,3120.0|3120.0,780|260,0|0,0|2,52,49920,1981.85
122,0.00531,99.964,1.18564,72.1,91.3,1.18033,0.0029648525118005187,16.322,0.938|0.918,0.70|0.24,853.1|440.7,3120.0|3120.0,780|260,0|0,0|2,116,49920,1998.17
123,0.00535,99.96,1.18814,72.35,91.3,1.18278,0.0028222641933652115,16.333,0.937|0.919,0.72|0.19,853.4|440.7,3120.0|3120.0,780|260,0|0,0|2,94,49920,2014.5
124,0.00539,99.946,1.18588,72.08,91.23,1.18049,0.0026826244280108436,16.367,0.939|0.919,0.67|0.21,853.1|440.8,3120.0|3120.0,780|260,0|0,0|2,85,49920,2030.87
125,0.00541,99.956,1.1848,72.24,91.23,1.17939,0.002545990578570404,16.246,0.935|0.916,0.76|0.26,854.1|440.7,3120.0|3120.0,780|260,0|0,0|2,137,49920,2047.11
126,0.00552,99.942,1.19203,72.17,91.26,1.18651,0.0024124187730720915,16.156,0.931|0.924,0.84|0.17,853.1|440.9,3120.0|3120.0,780|260,0|0,0|2,100,49920,2063.27
127,0.0053,99.958,1.18234,72.32,91.23,1.17705,0.0022819638816823796,16.188,0.935|0.920,0.78|0.21,853.4|440.2,3120.0|3120.0,780|260,0|0,0|2,109,49920,2079.46
128,0.0053,99.958,1.18317,72.1,91.38,1.17787,0.002154679494165829,16.317,0.933|0.921,0.78|0.18,853.4|440.6,3120.0|3120.0,780|260,0|0,0|2,92,49920,2095.78
129,0.00535,99.956,1.18612,72.25,91.32,1.18076,0.002030617897870851,16.354,0.937|0.918,0.72|0.22,853.6|441.2,3120.0|3120.0,780|260,0|0,0|2,112,49920,2112.13
130,0.00538,99.956,1.1799,72.35,91.26,1.17452,0.0019098300562505265,16.58,0.935|0.910,0.77|0.43,853.4|439.6,3120.0|3120.0,780|260,0|0,0|2,102,49920,2128.71
131,0.00532,99.966,1.18242,72.31,91.2,1.1771,0.0017923655879272394,16.298,0.941|0.915,0.65|0.30,853.4|440.2,3120.0|3120.0,780|260,0|0,0|2,121,49920,2145.01
132,0.00511,99.96,1.1814,72.3,91.34,1.17629,0.0016782727463097624,16.382,0.941|0.918,0.65|0.25,853.4|440.9,3120.0|3120.0,780|260,0|0,0|2,94,49920,2161.39
133,0.00519,99.96,1.17827,72.19,91.44,1.17308,0.0015675983997711796,16.338,0.934|0.921,0.75|0.21,853.4|441.4,3120.0|3120.0,780|260,0|0,0|2,88,49920,2177.73
134,0.00523,99.966,1.18306,72.2,91.33,1.17782,0.0014603880123957448,16.256,0.944|0.919,0.60|0.27,853.4|440.4,3120.0|3120.0,780|260,0|0,0|2,123,49920,2193.98
135,0.00518,99.964,1.18241,72.41,91.32,1.17723,0.001356685625302625,16.308,0.940|0.916,0.67|0.26,853.4|442.0,3120.0|3120.0,780|260,0|0,0|2,51,49920,2210.29
136,0.00506,99.972,1.17342,72.44,91.38,1.16836,0.0012565338385541792,16.286,0.931|0.917,0.83|0.31,853.6|440.9,3120.0|3120.0,780|260,0|0,0|2,132,49920,2226.58
137,0.0052,99.954,1.17714,72.4,91.4,1.17193,0.0011599737936562149,16.41,0.938|0.914,0.70|0.28,853.4|440.5,3120.0|3120.0,780|260,0|0,0|2,141,49920,2242.99
138,0.0052,99.966,1.17637,72.33,91.22,1.17117,0.00106704515665741,16.419,0.940|0.916,0.67|0.25,853.1|442.8,3120.0|3120.0,780|260,0|0,0|2,118,49920,2259.41
139,0.00513,99.966,1.17493,72.24,91.23,1.16979,0.0009777861018548252,16.284,0.941|0.921,0.65|0.19,853.1|439.7,3120.0|3120.0,780|260,0|0,0|2,130,49920,2275.69
140,0.00511,99.964,1.17338,72.26,91.28,1.16828,0.000892233296112236,16.281,0.935|0.917,0.73|0.25,853.4|440.6,3120.0|3120.0,780|260,0|0,0|2,116,49920,2291.97
141,0.00513,99.964,1.17322,72.5,91.42,1.16809,0.000810421883797694,16.274,0.938|0.920,0.70|0.23,853.1|440.9,3120.0|3120.0,780|260,0|0,0|2,116,49920,2308.25
142,0.00506,99.97,1.17951,72.38,91.41,1.17445,0.000732385472346514,16.379,0.941|0.915,0.66|0.22,853.4|441.2,3120.0|3120.0,780|260,0|0,0|2,102,49920,2324.62
143,0.0051,99.966,1.17137,72.42,91.36,1.16627,0.0006581561184556295,16.374,0.930|0.917,0.84|0.29,853.4|441.2,3120.0|3120.0,780|260,0|0,0|2,93,49920,2341.0
144,0.00502,99.97,1.1727,72.28,91.32,1.16768,0.000587764314914967,16.319,0.942|0.919,0.63|0.20,853.4|440.7,3120.0|3120.0,780|260,0|0,0|2,118,49920,2357.32
145,0.00506,99.972,1.17566,72.44,91.34,1.1706,0.0005212389780812732,16.297,0.937|0.915,0.72|0.31,853.6|441.5,3120.0|3120.0,780|260,0|0,0|2,119,49920,2373.61
146,0.00497,99.972,1.17753,72.36,91.33,1.17255,0.0004586074359995118,16.33,0.942|0.915,0.62|0.22,853.1|441.1,3120.0|3120.0,780|260,0|0,0|2,128,49920,2389.94
147,0.00511,99.964,1.17071,72.42,91.25,1.1656,0.00039989541717674215,16.261,0.940|0.921,0.64|0.19,853.1|441.8,3120.0|3120.0,780|260,0|0,0|2,133,49920,2406.21
148,0.00486,99.978,1.17431,72.4,91.3,1.16945,0.0003451270400130646,16.378,0.939|0.916,0.67|0.24,853.1|439.4,3120.0|3120.0,780|260,0|0,0|2,48,49920,2422.58
149,0.00504,99.97,1.17386,72.32,91.37,1.16882,0.00029432480289398377,16.306,0.946|0.920,0.57|0.24,853.1|442.3,3120.0|3120.0,780|260,0|0,0|2,133,49920,2438.89
150,0.00481,99.978,1.17224,72.45,91.17,1.16743,0.0002475095749482603,16.249,0.929|0.920,0.86|0.20,853.1|440.1,3120.0|3120.0,780|260,0|0,0|2,96,49920,2455.14
151,0.00492,99.984,1.17297,72.47,91.36,1.16805,0.00020470058747505516,16.194,0.932|0.921,0.81|0.20,853.6|440.2,3120.0|3120.0,780|260,0|0,0|2,99,49920,2471.33
152,0.00503,99.974,1.17276,72.48,91.4,1.16773,0.00016591542604387443,16.17,0.943|0.918,0.62|0.22,853.4|440.2,3120.0|3120.0,780|260,0|0,0|2,102,49920,2487.5
153,0.00509,99.968,1.17497,72.27,91.23,1.16988,0.00013117002327055926,16.297,0.935|0.918,0.76|0.18,853.1|441.0,3120.0|3120.0,780|260,0|0,0|2,102,49920,2503.8
154,0.00502,99.97,1.1722,72.44,91.34,1.16718,0.0001004786522723089,16.278,0.930|0.921,0.83|0.16,853.1|440.7,3120.0|3120.0,780|260,0|0,0|2,96,49920,2520.08
155,0.00502,99.964,1.173,72.37,91.34,1.16798,7.385392080440534e-05,16.261,0.936|0.923,0.73|0.18,853.4|440.8,3120.0|3120.0,780|260,0|0,0|2,127,49920,2536.34
156,0.0051,99.97,1.17403,72.43,91.35,1.16893,5.130676608104845e-05,16.354,0.933|0.917,0.78|0.25,853.4|440.8,3120.0|3120.0,780|260,0|0,0|2,118,49920,2552.69
157,0.00507,99.966,1.173,72.46,91.35,1.16792,3.2846450282447705e-05,16.337,0.940|0.917,0.66|0.23,853.4|440.9,3120.0|3120.0,780|260,0|0,0|2,101,49920,2569.03
158,0.00492,99.97,1.17639,72.36,91.35,1.17147,1.8480556749991273e-05,16.604,0.934|0.902,0.78|0.49,853.1|440.7,3120.0|3120.0,780|260,0|0,0|2,115,49920,2585.63
159,0.00493,99.972,1.17318,72.35,91.26,1.16825,8.214986871076801e-06,16.222,0.941|0.922,0.64|0.16,853.4|440.9,3120.0|3120.0,780|260,0|0,0|2,117,49920,2601.86
160,0.00492,99.978,1.17503,72.44,91.34,1.17011,2.0539576548717075e-06,16.319,0.931|0.922,0.82|0.20,853.4|441.0,3120.0|3120.0,780|260,0|0,0|2,81,49920,2618.17
