epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
47,0.04151,99.409,2.19136,56.66,78.4,2.14986,0.008539169714375886,112.036,0.873|0.507,10.42|53.57,3344.4|831.7,24960.0|24960.0,1560|520,0|0,0|2,267,99840,5302.12
48,0.03442,99.607,2.15784,57.34,78.78,2.12342,0.008126186854142752,112.349,0.869|0.505,11.09|53.99,3345.4|833.5,24960.0|24960.0,1560|520,0|0,0|2,268,99840,5414.47
49,0.02976,99.686,2.12247,57.54,79.19,2.09271,0.007716491298893442,112.727,0.867|0.504,11.19|54.28,3345.4|833.0,24960.0|24960.0,1560|520,0|0,0|2,266,99840,5527.19
50,0.02509,99.789,2.10077,57.62,79.33,2.07568,0.007310801793847343,112.193,0.870|0.507,11.05|53.72,3344.4|831.1,24960.0|24960.0,1560|520,0|0,0|2,268,99840,5639.39
51,0.02301,99.813,2.08348,57.72,79.38,2.06047,0.006909830056250526,111.102,0.879|0.512,10.04|52.62,3345.4|832.1,24960.0|24960.0,1560|520,0|0,0|2,270,99840,5750.49
52,0.02046,99.863,2.06505,57.87,79.25,2.04459,0.00651427952678185,111.645,0.873|0.509,10.37|53.24,3344.4|831.4,24960.0|24960.0,1560|520,0|0,0|2,268,99840,5862.13
53,0.01817,99.911,2.04958,58.05,79.39,2.03141,0.006124844135478971,112.263,0.872|0.507,10.93|53.78,3345.4|831.6,24960.0|24960.0,1560|520,0|0,0|2,268,99840,5974.4
54,0.01714,99.924,2.0257,58.53,79.63,2.00856,0.005742207084349273,111.755,0.876|0.509,10.23|53.26,3344.4|832.0,24960.0|24960.0,1560|520,0|0,0|2,266,99840,6086.15
55,0.0165,99.922,2.00198,58.17,79.7,1.98548,0.005367039648801385,111.376,0.878|0.511,10.05|52.86,3344.4|832.0,24960.0|24960.0,1560|520,0|0,0|2,269,99840,6197.53
56,0.01547,99.935,2.00753,58.36,79.63,1.99206,0.005000000000000003,111.329,0.877|0.510,10.19|52.93,3344.4|831.5,24960.0|24960.0,1560|520,0|0,0|2,265,99840,6308.86
57,0.0145,99.949,1.98052,58.63,79.69,1.96602,0.004641732050210031,111.22,0.877|0.510,10.03|52.93,3344.4|832.5,24960.0|24960.0,1560|520,0|0,0|2,268,99840,6420.08
58,0.01394,99.956,1.96945,58.68,79.84,1.95551,0.004292864323155684,111.705,0.875|0.509,10.39|53.30,3345.4|833.0,24960.0|24960.0,1560|520,0|0,0|2,267,99840,6531.78
59,0.01356,99.965,1.96882,58.83,79.81,1.95526,0.003954008851376252,111.6,0.876|0.509,10.38|53.15,3344.4|831.4,24960.0|24960.0,1560|520,0|0,0|2,270,99840,6643.38
60,0.01361,99.948,1.9651,58.6,79.78,1.95149,0.0036257601025131026,111.733,0.872|0.508,10.64|53.36,3344.4|834.3,24960.0|24960.0,1560|520,0|0,0|2,265,99840,6755.11
61,0.0131,99.964,1.94505,59.02,79.86,1.93195,0.003308693936411421,111.996,0.871|0.522,11.15|51.63,3345.6|835.1,24960.0|24960.0,1560|520,0|0,0|2,269,99840,6867.11
62,0.01303,99.964,1.94593,58.86,79.85,1.9329,0.0030033665948663445,112.02,0.877|0.508,10.31|53.54,3344.4|832.2,24960.0|24960.0,1560|520,0|0,0|2,269,99840,6979.13
63,0.01256,99.96,1.94439,59.11,79.94,1.93183,0.002710313725785887,111.361,0.877|0.510,10.19|52.97,3344.4|833.8,24960.0|24960.0,1560|520,0|0,0|2,267,99840,7090.49
64,0.01256,99.959,1.94092,59.05,80.12,1.92836,0.002430049443482437,111.125,0.877|0.513,10.12|52.59,3345.4|832.4,24960.0|24960.0,1560|520,0|0,0|2,267,99840,7201.62
65,0.01216,99.973,1.94101,59.02,79.87,1.92885,0.0021630654267416026,111.481,0.875|0.510,10.29|52.99,3345.4|830.9,24960.0|24960.0,1560|520,0|0,0|2,268,99840,7313.1
66,0.01234,99.969,1.9253,59.05,80.03,1.91296,0.0019098300562505265,110.697,0.883|0.517,9.65|51.89,3344.4|831.2,24960.0|24960.0,1560|520,0|0,0|2,268,99840,7423.79
67,0.01221,99.963,1.92489,59.05,79.93,1.91268,0.0016707875928990057,111.301,0.876|0.510,10.40|52.90,3345.4|833.3,24960.0|24960.0,1560|520,0|0,0|2,266,99840,7535.09
68,0.01201,99.963,1.91778,58.94,79.97,1.90577,0.0014463573983949341,111.427,0.876|0.510,10.23|53.03,3345.4|831.7,24960.0|24960.0,1560|520,0|0,0|2,270,99840,7646.52
69,0.01185,99.974,1.91952,59.15,79.98,1.90767,0.0012369331995613663,111.208,0.875|0.510,10.43|52.92,3344.4|832.9,24960.0|24960.0,1560|520,0|0,0|2,266,99840,7757.73
70,0.01174,99.967,1.91816,59.14,80.02,1.90642,0.001042882397605871,111.756,0.874|0.508,10.66|53.44,3345.4|832.1,24960.0|24960.0,1560|520,0|0,0|2,264,99840,7869.49
71,0.01166,99.974,1.91763,59.06,80.17,1.90597,0.0008645454235739902,101.713,0.959|0.604,3.21|38.66,3344.4|829.2,24960.0|24960.0,1560|520,0|0,0|2,261,99840,7971.2
72,0.01158,99.976,1.9179,59.11,80.1,1.90632,0.0007022351411174866,112.292,0.870|0.506,10.97|53.87,3345.4|832.7,24960.0|24960.0,1560|520,0|0,0|2,266,99840,8083.49
73,0.01158,99.974,1.91382,59.1,80.06,1.90224,0.00055623629762519,111.677,0.876|0.509,10.05|53.19,3344.4|832.5,24960.0|24960.0,1560|520,0|0,0|2,269,99840,8195.17
74,0.01162,99.974,1.91422,59.33,79.95,1.9026,0.0004268050246793276,111.817,0.876|0.509,10.23|53.30,3344.4|833.6,24960.0|24960.0,1560|520,0|0,0|2,267,99840,8306.98
75,0.01143,99.974,1.91383,59.11,80.05,1.90239,0.00031416838871368925,111.612,0.876|0.510,10.08|53.08,3345.4|831.5,24960.0|24960.0,1560|520,0|0,0|2,269,99840,8418.6
76,0.01139,99.979,1.90981,59.26,80.03,1.89842,0.0002185239926619431,111.381,0.876|0.511,10.28|52.95,3344.4|832.1,24960.0|24960.0,1560|520,0|0,0|2,267,99840,8529.98
77,0.01141,99.98,1.91347,59.1,80.02,1.90206,0.00014003962929495128,111.143,0.880|0.512,9.73|52.61,3345.4|831.7,24960.0|24960.0,1560|520,0|0,0|2,273,99840,8641.12
78,0.01139,99.971,1.91239,59.1,80.02,1.901,7.885298685522235e-05,111.723,0.875|0.509,10.28|53.32,3344.4|832.6,24960.0|24960.0,1560|520,0|0,0|2,268,99840,8752.84
79,0.01145,99.972,1.91633,59.03,80.03,1.90488,3.5071407504956296e-05,111.038,0.880|0.512,9.80|52.64,3344.4|833.6,24960.0|24960.0,1560|520,0|0,0|2,270,99840,8863.88
80,0.01136,99.973,1.91043,59.07,80.09,1.89907,8.771699011416168e-06,111.167,0.878|0.511,10.05|52.72,3344.4|832.6,24960.0|24960.0,1560|520,0|0,0|2,268,99840,8975.05
