epoch,train_loss,train_acc1,test_loss,test_acc1,test_acc5,gap_loss,lr,epoch_time_s,busy_frac,wait_time_s,peak_mem_mb,mb_sent,msgs_sent,recompute_micro,max_snapshots,bwd_overlap_minibatches,samples,cum_time_s
1,4.35092,4.519,3.89324,10.4,30.8,-0.45768,1.5384615384615384e-05,18.11,0.813|0.851,3.06|1.21,852.4|452.2,3120.0|3120.0,780|260,0|0,0|2,257,49920,18.11
2,3.73399,11.937,3.51943,14.8,44.4,-0.21456,0.004015384615384615,18.262,0.808|0.858,3.15|1.10,852.4|453.7,3120.0|3120.0,780|260,0|0,0|2,257,49920,36.37
